video_id, sentence_id, dep_total_original, dep_total_random, total_words
23, 150, 24, 30, 9
23, 151, 6, 8, 5
23, 153, 7, 12, 5
23, 156, 10, 12, 5
23, 158, 12, 17, 7
23, 159, 27, 29, 10
23, 160, 7, 6, 5
23, 161, 10, 16, 6
23, 163, 10, 14, 6
23, 172, 27, 37, 10
23, 173, 10, 10, 5
23, 174, 23, 29, 9
23, 175, 10, 10, 5
23, 178, 8, 12, 5
23, 180, 13, 15, 7
23, 184, 11, 11, 7
23, 191, 8, 6, 5
23, 192, 11, 9, 6
23, 195, 12, 16, 7
23, 198, 16, 39, 10
23, 199, 11, 16, 7
23, 200, 4, 6, 5
23, 205, 25, 36, 10
23, 207, 19, 42, 10
23, 208, 24, 53, 13
23, 215, 22, 37, 10
23, 219, 8, 8, 5
23, 220, 14, 17, 7
23, 221, 12, 21, 7
23, 236, 15, 10, 6
23, 247, 8, 8, 5
23, 248, 10, 9, 5
23, 249, 20, 24, 9
23, 250, 16, 20, 8
23, 252, 7, 6, 5
23, 254, 13, 19, 7
23, 257, 11, 18, 7
23, 260, 17, 22, 7
23, 265, 8, 5, 5
23, 266, 11, 11, 7
23, 267, 30, 73, 12
23, 270, 27, 50, 11
23, 273, 9, 13, 6
23, 274, 23, 38, 10
23, 275, 6, 5, 5
23, 276, 9, 16, 8
23, 277, 27, 35, 13
23, 287, 11, 12, 7
23, 288, 7, 10, 5
23, 291, 12, 12, 6
23, 302, 6, 11, 5
23, 307, 10, 8, 5
23, 308, 35, 45, 12
23, 309, 12, 25, 7
23, 318, 10, 10, 5
23, 324, 12, 11, 7
23, 328, 12, 14, 7
23, 331, 4, 7, 6
23, 339, 21, 31, 10
23, 344, 12, 19, 7
24, 2, 13, 19, 8
24, 4, 28, 64, 13
